"Timestamp","What is your age?            ","To which gender identity do you most identify?        ","Additional identity not listed?","Please tick the sexual orientation that best represents you:   ","Additional identity not listed?","Where do you reside?                           ","What region do you perform most of your research in?","Please select the racial or ethnic identity that represents you (please select all that apply).","Additional identity not listed?","Please select the religious affiliation that best represents you?            ","Additional identity not listed?","How would you describe your ability/disability status?                    ","Additional ability not listed?","Please describe your level of fluency with written English.                ","Please describe your level of fluency with spoken English.                ","Are you a parent or are you responsible for caring for children?            ","Are you responsible for caring for an adult?                            ","Does access to childcare or funds for care costs change your ability to attend IUSSI conferences?    ","Would you consider yourself part of the first generation in your family to attend college/university to earn a bachelor’s degree?           ","What is your position (please select all that apply)?            ","Which of these conferences have you attended before?","If you have participated before, in what capacity (Select all that applies)?","How would you best describe the institution where you work? (select all that apply)","To what extent do you agree with this statement: There are or have been barriers preventing me from fully participating in the international IUSSI conference.    ","If you agreed with the previous question, are the barriers preventing you from fully participating in IUSSI or its meetings based on any of the following: (Please select all that apply).","Additional barrier"
"2022/05/12 2:35:02 PM EST","30-34 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","South Asian","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","","No","Post Doc","IUSSI 2018: Guarujá, Brazil","Attendee;Other","Private University or Faculty","Somewhat disagree","",""
"2022/05/12 3:49:39 PM EST","65-69 years old","Cisgender man","","Heterosexual","","South America","South America","White","","","Atheist","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA;IUSSI 2002: Sapporo, Japan","Invited speaker;Plenary speaker;Administrative duties","Public University or Faculty","Strongly disagree","",""
"2022/05/12 3:56:34 PM EST","65-69 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","White","","An additional affiliation not listed","Unitarian Universalist","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Non-tenure track faculty","IUSSI 2006: Washington D.C., USA","Attendee;Poster presenter;Invited speaker","Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/12 4:46:44 PM EST","65-69 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","White","","Judaism","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Tenure track faculty (late - tenured equivalent)","","","Hispanic Serving Institution;Public University or Faculty;4 yr undergraduate serving institution","Neutral","",""
"2022/05/12 5:34:40 PM EST","25-29 years old","Cisgender woman","","Heterosexual","","Australasia","Australasia","South Asian","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat agree","Geographic location",""
"2022/05/12 5:37:06 PM EST","35-39 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","Hispanic;Black","","Christianity","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Post Doc","","","Research-intensive institution (M.S. and Ph.D.)","Neutral","",""
"2022/05/12 5:46:47 PM EST","60-64 years old","","Man","Heterosexual","","Australasia","Australasia","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Emeritus","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2002: Sapporo, Japan","Attendee;Plenary speaker;Administrative duties","Public University or Faculty","Neutral","",""
"2022/05/12 6:50:21 PM EST","50-54 years old","Cisgender man","","Heterosexual","","Other","Other","East Asian","","Buddhism","","I have no disability/impairment","","Professional working proficiency","Limited working proficiency","Yes","No","No","Yes","Non-tenure track faculty","IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA;IUSSI 2002: Sapporo, Japan","Poster presenter;Invited speaker","Public University or Faculty","Strongly disagree","",""
"2022/05/12 7:49:18 PM EST","25-29 years old","Cisgender woman","","Asexual","","Continental US","Continental US","White","","Agnostic","","Neurodiverse/neurodivergent;A psychological disorder","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.)","Somewhat agree","Personal or institutional financial resources",""
"2022/05/12 8:34:47 PM EST","50-54 years old","Cisgender woman","","Heterosexual","","Europe","Central America;South America","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2014: Cairns, Australia","Poster presenter","Research and teaching institution (M.S);Research-intensive institution (M.S. and Ph.D.)","Somewhat agree","Access to travel awards/funding",""
"2022/05/12 8:38:35 PM EST","35-39 years old","Cisgender woman","","Heterosexual","","Europe;Southeast Asia","Southeast Asia","White","","Christianity","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Post Doc","","","Research and teaching institution (M.S)","Somewhat agree","Visa issue;Nationality",""
"2022/05/13 12:42:54 AM EST","35-39 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","Middle Eastern","","I am not religious","","A psychological disorder","","Native / bilingual proficiency","Professional working proficiency","No","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil","Poster presenter","Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Neutral","Nationality;Access to travel awards/funding",""
"2022/05/13 1:16:14 AM EST","30-34 years old","Cisgender man","","Heterosexual","","Middle East","Continental US","South Asian","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Post Doc","","","Research-intensive institution (M.S. and Ph.D.)","Somewhat disagree","Personal or institutional financial resources",""
"2022/05/13 2:31:20 AM EST","50-54 years old","Cisgender man","","Heterosexual","","Europe","Central America","White","","Christianity","","A chronic medical condition","","Professional working proficiency","Limited working proficiency","Yes","No","No","Yes","Tenure track faculty (late - tenured equivalent)","","","Public University or Faculty","Somewhat agree","Personal or institutional financial resources",""
"2022/05/13 2:58:33 AM EST","25-29 years old","Cisgender man","","Bisexual","","Other","Other","East Asian;White","","I am not religious","","I have no disability/impairment","","Elementary proficiency","Elementary proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","","Neutral","",""
"2022/05/13 3:01:52 AM EST","21-24 years olf","Cisgender man","","Heterosexual","","South Asia","Continental US","South Asian","","Hinduism","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/13 3:48:58 AM EST","30-34 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","Agnostic","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat agree","Personal or institutional financial resources",""
"2022/05/13 4:04:35 AM EST","25-29 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","Christianity","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat disagree","Personal or institutional financial resources",""
"2022/05/13 8:03:40 AM EST","40-44 years old","Cisgender man","","Heterosexual","","Europe;Middle East","Middle East","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark","Attendee;Poster presenter;Invited speaker","Public Institute of Education, Science and Technology;Research and teaching institution (M.S);Government institution;Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Strongly disagree","",""
"2022/05/13 8:27:56 AM EST","21-24 years olf","Cisgender woman","","Asexual","","Continental US","Continental US","White","","Agnostic","","Neurodiverse/neurodivergent","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.)","Somewhat agree","Access to travel awards/funding",""
"2022/05/13 8:30:10 AM EST","35-39 years old","Cisgender man","","Heterosexual","","South America","South America","Latinx","","I am not religious","","I have no disability/impairment","","Limited working proficiency","Professional working proficiency","No","No","No","No","Tenure track faculty (early - assistant equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark","Poster presenter","Public Institute of Education, Science and Technology","Somewhat agree","Access to travel awards/funding",""
"2022/05/13 9:53:03 AM EST","21-24 years olf","Cisgender woman","","Asexual","","Canada","Canada","Southeast Asian","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research and teaching institution (M.S);Public University or Faculty","Somewhat disagree","",""
"2022/05/13 10:39:46 AM EST","30-34 years old","Cisgender woman","","Heterosexual","","Europe","Europe","Prefer not to respond","","Prefer not to respond","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","No","Post Doc","","","Public University or Faculty","Neutral","Geographic location",""
"2022/05/13 11:48:42 AM EST","40-44 years old","Cisgender man","","Homosexual (gay/lesbian)","","Europe","Europe","White","","Christianity","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Tenure track faculty (early - assistant equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark","Poster presenter;Invited speaker","Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/13 3:26:39 PM EST","25-29 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","White","","Agnostic","","Neurodiverse/neurodivergent","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.)","Somewhat disagree","",""
"2022/05/13 10:20:44 PM EST","30-34 years old","Cisgender man","","Heterosexual","","Other","Other","East Asian","","Prefer not to respond","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia","Invited speaker","Research-intensive institution (M.S. and Ph.D.)","Neutral","Geographic location",""
"2022/05/14 8:22:42 AM EST","45-49 years old","Cisgender woman","","Heterosexual","","Continental US","Central America;Continental US;South America;Australasia","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Invited speaker","Private University or Faculty","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding;Gender",""
"2022/05/14 9:45:22 AM EST","25-29 years old","Prefer not to respond","","Prefer not to respond","","Europe","South America","Prefer not to respond","","Prefer not to respond","","Prefer not to respond","","Professional working proficiency","","No","No","No","No","Graduate Student (MS or PhD)","","","Research Institute (INPA, Butantã Institute, Humboldt, Insibio, Inecol, NSF, NIH, HHMI etc)","Somewhat agree","Access to travel awards/funding",""
"2022/05/14 5:45:32 PM EST","25-29 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","White","","Christianity","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD);Research Assistant (with Bachelor’s degree)","","","Public Institute of Education, Science and Technology;Research and teaching institution (M.S);Research-intensive institution (M.S. and Ph.D.);Public University or Faculty","Strongly disagree","",""
"2022/05/14 9:00:35 PM EST","21-24 years olf","Cisgender woman","","Asexual","","Continental US","Continental US","East Asian;White","","An additional affiliation not listed","Pagan","Prefer not to respond","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","Public University or Faculty","Strongly disagree","",""
"2022/05/15 12:47:44 AM EST","40-44 years old","Cisgender woman","","Heterosexual","","Australasia","Australasia","White","","I am not religious","Atheist","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Attendee;Invited speaker;Administrative duties","Public University or Faculty","Neutral","Access to travel awards/funding",""
"2022/05/15 1:01:59 PM EST","50-54 years old","Cisgender man","","Heterosexual","","Canada","Canada","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA;IUSSI 2002: Sapporo, Japan","Poster presenter;Invited speaker;Other","Public University or Faculty","Neutral","",""
"2022/05/15 4:13:04 PM EST","30-34 years old","Cisgender woman","","Questioning/Unsure","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","Public University or Faculty","Neutral","",""
"2022/05/16 6:58:50 AM EST","","Cisgender woman","","Heterosexual","","Continental US","Continental US;Europe;Middle East;Sub-Saharan Africa","White","","Christianity","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Attendee;Poster presenter;Invited speaker;Plenary speaker;Administrative duties","Public University or Faculty","Strongly disagree","",""
"2022/05/16 6:59:18 AM EST","21-24 years olf","Cisgender woman","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Strongly disagree","",""
"2022/05/16 7:13:18 AM EST","25-29 years old","Cisgender man","","Homosexual (gay/lesbian)","","Southeast Asia","Southeast Asia","East Asian","","I am not religious","","I have no disability/impairment","","Limited working proficiency","Limited working proficiency","No","No","No","No","Post Doc","IUSSI 2018: Guarujá, Brazil","Attendee","Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/16 9:39:33 AM EST","35-39 years old","Cisgender man","","Heterosexual","","Continental US","Central America;Continental US","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Post Doc","","","Public Institute of Education, Science and Technology;Private University or Faculty;Government institution;Research-intensive institution (M.S. and Ph.D.);Private Institute of Education, Science and Technology","Strongly disagree","",""
"2022/05/16 11:58:55 AM EST","21-24 years olf","Cisgender woman","","Bisexual","","Continental US","Central America","White","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty;4 yr undergraduate serving institution","","",""
"2022/05/16 12:59:33 PM EST","60-64 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","White","","Christianity","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","Yes","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2006: Washington D.C., USA;IUSSI 2002: Sapporo, Japan","Attendee;Invited speaker;Plenary speaker","Public University or Faculty","Somewhat agree","Sex;Personal or institutional financial resources",""
"2022/05/16 6:48:08 PM EST","18-21 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","White","","Christianity","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Undergraduate Student","","","4 yr undergraduate serving institution","Strongly disagree","",""
"2022/05/16 8:08:22 PM EST","25-29 years old","Cisgender woman","","Heterosexual","","Canada","Canada","White","","Christianity","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research-intensive institution (M.S. and Ph.D.)","Strongly disagree","",""
"2022/05/17 3:46:42 AM EST","30-34 years old","Non-binary","","Heterosexual","","Sub-Saharan Africa","Middle East;Sub-Saharan Africa","Black","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","Yes","No","Yes","Post Doc","","","Government institution","Strongly disagree","",""
"2022/05/17 5:48:36 AM EST","","Cisgender woman","female","Heterosexual","","Sub-Saharan Africa","Sub-Saharan Africa","Black","","Christianity","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","Yes","No","Yes","Graduate Student (MS or PhD);Government employee","","","Government institution","I prefer not to answer","I prefer not to answer",""
"2022/05/18 5:25:59 AM EST","25-29 years old","Cisgender woman","","Heterosexual","","Central America;Other","Southeast Asia","East Asian","","I am not religious","","I have no disability/impairment","","Elementary proficiency","Elementary proficiency","No","No","No","Prefer not to respond","Graduate Student (MS or PhD)","","","4 yr undergraduate serving institution","Somewhat agree","Personal or institutional financial resources",""
"2022/05/18 8:52:23 AM EST","25-29 years old","Cisgender woman","","Heterosexual","","Europe","Europe","Brown;White","","I am not religious","","I have no disability/impairment","","Limited working proficiency","Elementary proficiency","No","No","","Yes","Graduate Student (MS or PhD)","","","Research and teaching institution (M.S)","Neutral","",""
"2022/05/18 5:30:41 PM EST","35-39 years old","Cisgender man","","Heterosexual","","Europe","Europe","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","No","Yes","Graduate Student (MS or PhD);Zoo and aquarium keeper","IUSSI 2018: Guarujá, Brazil","Attendee","Public Institute of Education, Science and Technology;Zoo and/or Aquarium","Neutral","Access to travel awards/funding;Geographic location",""
"2022/05/19 2:59:46 AM EST","60-64 years old","Prefer not to respond","","Prefer not to respond","","Europe","Europe","White","","Prefer not to respond","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","No","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2014: Cairns, Australia;IUSSI 2010: Copenhagen, Denmark;IUSSI 2002: Sapporo, Japan","Attendee;Invited speaker","Public University or Faculty","Somewhat agree","Personal or institutional financial resources;Access to travel awards/funding",""
"2022/05/19 7:01:34 PM EST","21-24 years olf","Cisgender woman","","Heterosexual","","Continental US","Continental US","Southeast Asian","","Christianity","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","Research and teaching institution (M.S);Research-intensive institution (M.S. and Ph.D.);Public University or Faculty;4 yr undergraduate serving institution","Somewhat agree","Access to travel awards/funding",""
"2022/05/21 3:08:03 AM EST","45-49 years old","Cisgender man","","Heterosexual","","Australasia","Central America;South Asia;South America;Australasia;Sub-Saharan Africa","White","","Buddhism","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Non-tenure track faculty","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia;IUSSI 2006: Washington D.C., USA;IUSSI 2002: Sapporo, Japan","Attendee;Poster presenter;Invited speaker","Public University or Faculty","Strongly agree","Personal or institutional financial resources",""
"2022/05/23 10:08:24 AM EST","25-29 years old","Cisgender man","","Homosexual (gay/lesbian)","","South America","South America","Latinx;White","","Agnostic","","I have no disability/impairment","","Limited working proficiency","Limited working proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","IUSSI 2018: Guarujá, Brazil","Attendee","Research Institute (INPA, Butantã Institute, Humboldt, Insibio, Inecol, NSF, NIH, HHMI etc);Public University or Faculty","Somewhat agree","Visa issue;Personal or institutional financial resources",""
"2022/05/23 3:17:40 PM EST","40-44 years old","Cisgender woman","","Bisexual","","Continental US","Continental US","White;Prefer not to respond","","I am not religious","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","No","Tenure track faculty (early - assistant equivalent)","IUSSI 2010: Copenhagen, Denmark;IUSSI 2006: Washington D.C., USA","Attendee;Poster presenter","4 yr undergraduate serving institution","Strongly agree","Personal or institutional financial resources;Access to travel awards/funding;Another issue (please specify below)","Sometimes it has been a matter of timing - not easy to address."
"2022/05/23 3:38:13 PM EST","45-49 years old","Cisgender woman","","Heterosexual","","Continental US","Continental US","White","","Agnostic","","I have no disability/impairment","","Native / bilingual proficiency","Native / bilingual proficiency","Yes","Yes","No","No","Tenure track faculty (late - tenured equivalent)","IUSSI 2018: Guarujá, Brazil","Attendee;Invited speaker","4 yr undergraduate serving institution","Somewhat agree","Personal or institutional financial resources;Caregiver status;Geographic location",""
"2022/05/23 4:04:46 PM EST","25-29 years old","Cisgender man","","Heterosexual","","Continental US","Continental US","South Asian","","Hinduism","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","","No","Graduate Student (MS or PhD)","","","Other","Strongly agree","Visa issue;Nationality;Personal or institutional financial resources;Access to travel awards/funding;Geographic location",""
"2022/05/24 3:26:00 AM EST","25-29 years old","Non-binary","","Pansexual","","Europe","Europe","White","","I am not religious","","Neurodiverse/neurodivergent","","Native / bilingual proficiency","Native / bilingual proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","4 yr undergraduate serving institution","Strongly disagree","",""
"2022/05/25 9:23:32 AM EST","25-29 years old","Cisgender woman","","Heterosexual","","Europe","Europe","White","","Christianity","","I have no disability/impairment","","Professional working proficiency","Native / bilingual proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Public University or Faculty","Somewhat disagree","Personal or institutional financial resources",""
"2022/05/30 5:05:43 AM EST","30-34 years old","Cisgender woman","","Heterosexual","","Europe","South America","Latinx","","Agnostic","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","Yes","No","Yes","Yes","Post Doc","IUSSI 2018: Guarujá, Brazil;IUSSI 2014: Cairns, Australia","Poster presenter;Invited speaker","Government institution","Neutral","",""
"2022/06/06 12:22:28 AM EST","25-29 years old","Cisgender woman","","Questioning/Unsure","","Australasia","Australasia","White","","I am not religious","","I have no disability/impairment","","Professional working proficiency","Professional working proficiency","No","No","No","Yes","Graduate Student (MS or PhD)","","","Public University or Faculty","Strongly disagree","",""
"2022/06/14 3:37:26 AM EST","25-29 years old","Cisgender man","","Heterosexual","","Europe","Europe","White","","Agnostic","","A temporary impairment due to illness or injury","","Limited working proficiency","Professional working proficiency","No","No","No","No","Graduate Student (MS or PhD)","","","Research and teaching institution (M.S)","Somewhat agree","Personal or institutional financial resources",""
"2022/06/14 9:02:01 AM EST","40-44 years old","Cisgender woman","","Heterosexual","","South America","South America","Latinx","","Christianity","","I have no disability/impairment","","Limited working proficiency","Limited working proficiency","Yes","No","No","No","Tenure track faculty (early - assistant equivalent)","IUSSI 2018: Guarujá, Brazil","Poster presenter","Research Institute (INPA, Butantã Institute, Humboldt, Insibio, Inecol, NSF, NIH, HHMI etc)","Strongly agree","Visa issue;Access to travel awards/funding;Geographic location",""
